invoice_id,date,time,branch,city,customer_type,gender,category,product,unit_price,quantity,discount_pct,payment_method,rating,cost_price,gross_sales,discount_amount,net_sales,total_cost,profit,profit_margin_pct,weekday,month,hour,time_slot
INV-2024-01323,2024-01-01,09:55,A,Delhi,Normal,Male,Clothing,Jacket,2797.26,1,0.0,Cash,8.6,1706.33,2797.26,0.0,2797.26,1706.33,1090.9300000000003,38.99994995102351,Monday,January,9,Morning
INV-2024-01101,2024-01-01,10:49,A,Delhi,Normal,Male,Electronics,Earbuds,2101.56,1,0.0,Cash,7.7,1450.08,2101.56,0.0,2101.56,1450.08,651.48,30.999828698680982,Monday,January,10,Morning
INV-2024-02299,2024-01-01,12:12,A,Delhi,Member,Female,Home & Kitchen,Bedsheet,1017.73,3,0.1,Card,6.8,671.7,3053.19,305.319,2747.871,2015.1000000000001,732.771,26.66686318244197,Monday,January,12,Afternoon
INV-2024-01617,2024-01-01,12:34,A,Delhi,Normal,Female,Home & Kitchen,Mixer Grinder,3516.98,5,0.05,Card,8.2,2321.21,17584.9,879.2450000000001,16705.655000000002,11606.05,5099.605000000003,30.52622001352238,Monday,January,12,Afternoon
INV-2024-00052,2024-01-01,13:15,A,Delhi,Normal,Male,Groceries,Dry Fruits,976.75,4,0.2,UPI,5.9,800.94,3907.0,781.4000000000001,3125.6,3203.76,-78.16000000000031,-2.5006398771435983,Monday,January,13,Afternoon
INV-2024-00741,2024-01-01,14:28,A,Delhi,Member,Female,Electronics,Bluetooth Speaker,2602.74,3,0.15000000000000002,Cash,4.7,1795.89,7808.219999999999,1171.2330000000002,6636.986999999999,5387.67,1249.316999999999,18.823556532504874,Monday,January,14,Afternoon
INV-2024-00775,2024-01-01,14:29,B,Mumbai,Normal,Female,Groceries,Dry Fruits,976.0,6,0.0,UPI,6.1,800.32,5856.0,0.0,5856.0,4801.92,1054.08,18.0,Monday,January,14,Afternoon
INV-2024-01221,2024-01-01,15:06,C,Bengaluru,Normal,Male,Electronics,Smart Watch,4090.96,1,0.05,UPI,6.2,2822.76,4090.96,204.548,3886.4120000000003,2822.76,1063.652,27.368482806249055,Monday,January,15,Afternoon
INV-2024-00647,2024-01-01,16:26,C,Bengaluru,Normal,Female,Electronics,Earbuds,2102.06,1,0.0,UPI,6.5,1450.42,2102.06,0.0,2102.06,1450.42,651.6399999999999,31.000066601333927,Monday,January,16,Evening
INV-2024-02384,2024-01-01,16:58,B,Mumbai,Member,Male,Groceries,Breakfast Cereal,377.58,6,0.15000000000000002,Card,6.5,309.62,2265.48,339.82200000000006,1925.658,1857.72,67.93799999999987,3.528040804753486,Monday,January,16,Evening
INV-2024-00811,2024-01-01,17:03,A,Delhi,Normal,Female,Sports,Dumbbell Set,2580.3,2,0.05,UPI,7.3,1651.39,5160.6,258.03000000000003,4902.570000000001,3302.78,1599.7900000000004,32.631660537228434,Monday,January,17,Evening
INV-2024-00595,2024-01-01,17:11,C,Bengaluru,Member,Male,Clothing,Jacket,2843.48,4,0.05,UPI,8.4,1734.52,11373.92,568.696,10805.224,6938.08,3867.1440000000002,35.78957733777662,Monday,January,17,Evening
INV-2024-00744,2024-01-01,17:16,B,Mumbai,Normal,Male,Clothing,T-Shirt,752.55,1,0.0,UPI,6.3,459.06,752.55,0.0,752.55,459.06,293.48999999999995,38.9994020330875,Monday,January,17,Evening
INV-2024-00998,2024-01-01,17:24,C,Bengaluru,Normal,Male,Groceries,Dry Fruits,968.34,1,0.0,Card,7.9,794.04,968.34,0.0,968.34,794.04,174.30000000000007,17.999876076584677,Monday,January,17,Evening
INV-2024-01158,2024-01-01,18:20,A,Delhi,Member,Female,Personal Care,Trimmer,2033.84,1,0.15,UPI,7.0,1179.63,2033.84,305.07599999999996,1728.764,1179.63,549.1339999999998,31.764543916925607,Monday,January,18,Evening
INV-2024-01314,2024-01-01,20:20,B,Mumbai,Member,Female,Personal Care,Skin Care Kit,1186.94,1,0.2,Card,8.9,688.43,1186.94,237.38800000000003,949.552,688.43,261.12200000000007,27.499494498458226,Monday,January,20,Night
INV-2024-01837,2024-01-01,20:28,B,Mumbai,Normal,Female,Electronics,Bluetooth Speaker,2729.57,1,0.05,Card,7.3,1883.4,2729.57,136.47850000000003,2593.0915,1883.4,709.6914999999999,27.368548313856255,Monday,January,20,Night
INV-2024-00423,2024-01-01,20:59,C,Bengaluru,Member,Female,Sports,Dumbbell Set,2563.68,2,0.1,Card,7.0,1640.76,5127.36,512.736,4614.624,3281.52,1333.1039999999998,28.888680854604836,Monday,January,20,Night
INV-2024-00766,2024-01-01,21:07,A,Delhi,Member,Male,Clothing,T-Shirt,786.82,3,0.05,UPI,8.1,479.96,2360.46,118.02300000000001,2242.437,1439.8799999999999,802.557,35.78950044081506,Monday,January,21,Night
INV-2024-00535,2024-01-02,09:12,C,Bengaluru,Normal,Male,Electronics,Bluetooth Speaker,2969.37,5,0.1,Card,8.9,2048.87,14846.849999999999,1484.685,13362.164999999999,10244.349999999999,3117.8150000000005,23.33315746362959,Tuesday,January,9,Morning
