invoice_id,date,time,branch,city,customer_type,gender,category,product,unit_price,quantity,discount_pct,payment_method,rating,cost_price
INV-2024-00001,2024-03-13,14:40,C,Bengaluru,Normal,Male,Electronics,Smart Watch,4278.65,5,0.0,UPI,6.9,2952.27
INV-2024-00002,2024-02-12,19:07,A,Delhi,Member,Female,Groceries,Breakfast Cereal,359.52,3,0.0,Card,9.3,294.81
INV-2024-00003,2024-03-20,19:09,C,Bengaluru,Normal,Female,Sports,Dumbbell Set,2554.66,3,0.1,Cash,8.4,1634.98
INV-2024-00004,2024-03-06,17:46,A,Delhi,Member,Female,Clothing,T-Shirt,767.02,2,0.05,Cash,7.9,467.88
INV-2024-00005,2024-01-10,16:19,A,Delhi,Normal,Female,Electronics,Smart Watch,3861.58,5,0.1,UPI,8.9,2664.49
INV-2024-00006,2024-03-30,18:01,B,Mumbai,Normal,Male,Groceries,Breakfast Cereal,352.11,3,0.05,Cash,9.7,288.73
INV-2024-00007,2024-03-12,17:33,C,Bengaluru,Normal,Male,Electronics,Smart Watch,4228.68,3,0.1,UPI,7.1,2917.79
INV-2024-00008,2024-03-14,12:00,B,Mumbai,Member,Female,Electronics,Power Bank,1593.29,4,0.05,UPI,7.4,1099.37
INV-2024-00009,2024-01-13,21:05,B,Mumbai,Normal,Female,Sports,Dumbbell Set,2481.71,3,0.05,UPI,7.5,1588.29
INV-2024-00010,2024-02-13,20:13,B,Mumbai,Member,Female,Clothing,Sports Shoes,2407.49,4,0.1,Cash,5.0,1468.57
INV-2024-00011,2024-02-06,13:54,C,Bengaluru,Normal,Female,Personal Care,Trimmer,1875.45,3,0.15,UPI,7.9,1087.76
INV-2024-00012,2024-03-25,18:04,B,Mumbai,Normal,Female,Groceries,Breakfast Cereal,362.32,2,0.05,Card,9.1,297.1
INV-2024-00013,2024-03-02,20:34,C,Bengaluru,Member,Female,Home & Kitchen,Storage Set,737.74,3,0.15000000000000002,Cash,10.0,486.91
INV-2024-00014,2024-03-17,17:27,C,Bengaluru,Member,Female,Home & Kitchen,Mixer Grinder,3244.4,4,0.0,Card,8.1,2141.3
INV-2024-00015,2024-02-12,16:53,A,Delhi,Normal,Male,Personal Care,Shampoo,441.72,2,0.1,Card,5.1,256.2
INV-2024-00016,2024-01-23,19:49,C,Bengaluru,Member,Male,Groceries,Breakfast Cereal,394.54,4,0.15,UPI,9.5,323.52
INV-2024-00017,2024-02-23,21:56,B,Mumbai,Normal,Female,Clothing,T-Shirt,839.87,1,0.15,Cash,7.0,512.32
