student_id,school,grade,section,gender,age,attendance_pct,study_hours_daily,internet_access,parent_education,mathematics,science,english,social_science,computer
STU-0001,West Senior,10,A,Male,16,66.5,1.0,Yes,Graduate,54.0,42.5,54.2,55.8,56.2
STU-0002,South Public,9,B,Female,14,78.4,4.2,Yes,Graduate,88.5,67.6,83.5,84.1,84.9
STU-0003,East Model,9,C,Female,14,58.3,4.8,Yes,Primary,70.9,64.9,65.4,72.6,71.1
STU-0004,East Model,11,A,Male,16,92.4,4.2,Yes,Secondary,81.4,83.7,83.5,60.0,71.9
STU-0005,South Public,10,C,Male,15,69.9,2.7,Yes,Primary,56.0,58.8,62.0,58.8,64.4
STU-0006,East Model,9,B,Female,14,80.3,3.2,Yes,Secondary,63.9,60.7,70.5,71.7,80.0
STU-0007,East Model,11,B,Female,16,88.4,0.9,Yes,Primary,66.4,61.8,68.3,52.1,77.2
STU-0008,South Public,12,A,Male,18,83.4,2.8,Yes,Postgraduate,70.2,72.0,91.0,91.8,51.4
STU-0009,West Senior,10,C,Male,15,73.4,2.1,Yes,Secondary,43.5,63.0,65.3,61.4,69.8
STU-0010,North Academy,9,A,Male,14,93.4,1.9,Yes,Primary,65.6,59.7,77.8,61.8,68.7
STU-0011,North Academy,11,A,Female,16,80.7,3.6,No,Secondary,40.5,65.8,65.6,68.9,71.1
STU-0012,East Model,10,A,Male,15,76.8,1.9,Yes,Graduate,58.7,68.3,95.3,57.0,77.7
STU-0013,North Academy,12,A,Female,18,73.4,2.9,Yes,Primary,71.9,60.3,72.4,72.5,52.6
STU-0014,North Academy,9,A,Male,14,67.9,1.7,No,Primary,35.4,61.6,57.5,59.1,63.0
STU-0015,East Model,12,A,Female,18,92.2,1.8,Yes,Primary,46.0,60.8,53.0,54.5,76.5
STU-0016,South Public,10,B,Female,16,73.4,2.1,No,Secondary,54.5,51.1,60.3,82.2,60.7
STU-0017,East Model,10,A,Female,15,81.2,1.7,Yes,Secondary,50.2,58.9,55.0,61.2,79.1
STU-0018,West Senior,11,A,Female,16,66.2,2.5,Yes,Secondary,42.7,46.0,70.7,63.0,74.3
STU-0019,East Model,10,B,Male,15,78.9,1.1,Yes,Primary,52.5,51.7,60.2,59.2,88.2
STU-0020,South Public,10,B,Female,15,99.7,3.2,Yes,Primary,91.4,77.7,64.3,70.5,79.4
STU-0021,North Academy,11,C,Male,16,68.5,0.4,Yes,Postgraduate,43.1,51.9,55.1,40.6,52.1
STU-0022,East Model,12,A,Male,17,83.0,2.2,Yes,Secondary,52.8,74.0,73.2,53.9,54.4
STU-0023,South Public,9,A,Male,15,74.1,3.7,No,Postgraduate,61.5,58.1,69.7,71.7,92.3
STU-0024,West Senior,12,A,Female,18,92.1,2.4,No,Graduate,74.1,62.6,54.3,73.2,67.9
STU-0025,East Model,11,B,Male,16,100.0,0.4,Yes,Graduate,52.8,51.6,65.4,69.5,76.8
STU-0026,West Senior,10,C,Male,16,97.8,2.3,No,Postgraduate,,71.5,74.8,75.0,72.0
STU-0027,North Academy,10,C,Male,15,66.8,0.2,Yes,Secondary,55.2,41.6,53.7,45.0,53.1
STU-0028,North Academy,9,B,Male,15,88.6,5.9,Yes,Secondary,93.8,84.9,100.0,74.9,84.1
STU-0029,South Public,11,A,Male,16,62.8,0.2,Yes,Secondary,36.0,53.7,47.9,55.3,49.5
STU-0030,South Public,10,C,Male,15,68.2,1.0,No,Graduate,54.1,38.2,69.6,50.7,63.7
STU-0031,West Senior,12,B,Male,17,84.7,2.1,No,Graduate,57.9,56.5,64.0,53.1,60.3
STU-0032,East Model,9,B,Female,14,85.4,2.5,Yes,Primary,75.4,70.4,56.1,69.6,71.4
STU-0033,North Academy,11,A,Female,16,80.5,3.3,Yes,Postgraduate,80.5,63.1,65.5,67.1,61.2
STU-0034,North Academy,11,A,Male,17,83.1,2.8,Yes,Graduate,59.0,72.2,83.1,77.7,86.3
STU-0035,South Public,12,C,Female,17,87.0,4.4,Yes,Graduate,67.4,71.3,83.2,71.5,66.9
STU-0036,South Public,11,A,Female,16,70.5,2.4,Yes,Graduate,61.6,74.1,63.5,60.8,63.6
STU-0037,East Model,9,C,Female,14,88.2,2.3,Yes,Secondary,60.6,92.3,90.8,57.5,76.1
STU-0038,East Model,11,C,Female,17,73.2,1.6,No,Graduate,47.0,49.7,57.7,50.4,63.2
STU-0039,East Model,10,A,Male,15,84.5,2.5,No,Graduate,61.3,72.5,64.7,56.0,88.1
STU-0040,South Public,9,A,Female,14,93.2,0.8,Yes,Primary,61.7,59.9,86.3,50.6,72.4
STU-0041,East Model,10,B,Female,15,90.2,4.5,No,Secondary,70.5,62.4,65.6,69.6,88.0
STU-0042,South Public,10,B,Female,16,80.3,2.8,Yes,Primary,51.0,52.4,87.9,69.9,76.4
STU-0043,South Public,9,B,Female,14,76.4,2.3,Yes,Secondary,71.6,71.7,76.3,83.4,52.5
STU-0044,North Academy,12,B,Male,17,87.7,2.7,Yes,Secondary,80.3,59.3,63.7,73.4,91.3
STU-0045,East Model,12,B,Male,18,93.3,5.6,Yes,Primary,75.4,82.1,93.8,77.2,80.1
STU-0046,West Senior,11,A,Male,17,78.9,0.7,Yes,Postgraduate,61.5,45.3,54.9,57.4,59.3
STU-0047,East Model,11,B,Male,16,86.5,3.9,Yes,Secondary,59.8,63.5,48.5,95.4,76.3
