date,city,region,temperature_max_c,temperature_min_c,rainfall_mm,humidity_pct,wind_speed_kmh,weather_condition
2022-01-01,Delhi,North,19.0,7.8,0.0,60.4,2.9,Clear
2022-01-02,Delhi,North,20.3,10.0,0.0,56.1,2.5,Clear
2022-01-03,Delhi,North,19.5,9.3,0.0,40.7,2.5,Clear
2022-01-04,Delhi,North,15.0,5.7,0.0,51.2,15.2,Clear
2022-01-05,Delhi,North,17.3,5.7,0.0,56.5,17.6,Clear
2022-01-06,Delhi,North,21.0,8.1,0.0,51.9,9.1,Clear
2022-01-07,Delhi,North,18.8,8.5,0.0,54.6,23.0,Clear
2022-01-08,Delhi,North,16.9,8.7,0.0,31.6,19.6,Clear
2022-01-09,Delhi,North,18.0,5.5,0.0,41.4,3.6,Clear
2022-01-10,Delhi,North,18.3,5.8,0.0,65.6,6.7,Clear
2022-01-11,Delhi,North,19.6,8.4,0.0,62.6,17.3,Clear
2022-01-12,Delhi,North,20.0,8.1,5.2,69.8,11.0,Light Rain
2022-01-13,Delhi,North,14.4,4.0,0.0,68.0,31.1,Clear
2022-01-14,Delhi,North,19.1,6.7,0.0,69.0,8.2,Clear
2022-01-15,Delhi,North,21.0,10.6,0.0,53.7,4.6,Clear
2022-01-16,Delhi,North,17.3,6.4,0.0,50.4,2.0,Clear
2022-01-17,Delhi,North,17.3,8.2,0.0,37.9,10.8,Clear
2022-01-18,Delhi,North,17.1,6.1,0.0,54.9,20.5,Clear
2022-01-19,Delhi,North,20.2,8.2,0.0,54.9,6.1,Clear
2022-01-20,Delhi,North,17.6,7.8,0.0,58.5,23.4,Clear
2022-01-21,Delhi,North,18.6,7.6,0.0,61.3,6.8,Clear
2022-01-22,Delhi,North,15.6,5.5,0.0,52.1,8.9,Clear
2022-01-23,Delhi,North,20.5,9.8,0.0,56.6,11.1,Clear
2022-01-24,Delhi,North,20.3,9.5,0.0,44.6,10.9,Clear
2022-01-25,Delhi,North,16.9,6.4,0.0,65.0,24.2,Clear
