student_id,school,grade,section,gender,age,attendance_pct,study_hours_daily,internet_access,parent_education,mathematics,science,english,social_science,computer,average_score,median_score,subjects_passed,result,performance_band,at_risk
STU-0001,West Senior,10,A,Male,16,66.5,1.0,Yes,Graduate,54.0,42.5,54.2,55.8,56.2,52.54,54.2,5,Pass,Average,Yes
STU-0002,South Public,9,B,Female,14,78.4,4.2,Yes,Graduate,88.5,67.6,83.5,84.1,84.9,81.72,84.1,5,Pass,Very Good,No
STU-0003,East Model,9,C,Female,14,58.3,4.8,Yes,Primary,70.9,64.9,65.4,72.6,71.1,68.97999999999999,70.9,5,Pass,Good,Yes
STU-0004,East Model,11,A,Male,16,92.4,4.2,Yes,Secondary,81.4,83.7,83.5,60.0,71.9,76.1,81.4,5,Pass,Very Good,No
STU-0005,South Public,10,C,Male,15,69.9,2.7,Yes,Primary,56.0,58.8,62.0,58.8,64.4,60.0,58.8,5,Pass,Good,Yes
STU-0006,East Model,9,B,Female,14,80.3,3.2,Yes,Secondary,63.9,60.7,70.5,71.7,80.0,69.36,70.5,5,Pass,Good,No
STU-0007,East Model,11,B,Female,16,88.4,0.9,Yes,Primary,66.4,61.8,68.3,52.1,77.2,65.16,66.4,5,Pass,Good,No
STU-0008,South Public,12,A,Male,18,83.4,2.8,Yes,Postgraduate,70.2,72.0,91.0,91.8,51.4,75.28,72.0,5,Pass,Very Good,No
STU-0009,West Senior,10,C,Male,15,73.4,2.1,Yes,Secondary,43.5,63.0,65.3,61.4,69.8,60.6,63.0,5,Pass,Good,Yes
STU-0010,North Academy,9,A,Male,14,93.4,1.9,Yes,Primary,65.6,59.7,77.8,61.8,68.7,66.72,65.6,5,Pass,Good,No
STU-0011,North Academy,11,A,Female,16,80.7,3.6,No,Secondary,40.5,65.8,65.6,68.9,71.1,62.379999999999995,65.8,5,Pass,Good,No
STU-0012,East Model,10,A,Male,15,76.8,1.9,Yes,Graduate,58.7,68.3,95.3,57.0,77.7,71.4,68.3,5,Pass,Good,No
STU-0013,North Academy,12,A,Female,18,73.4,2.9,Yes,Primary,71.9,60.3,72.4,72.5,52.6,65.94000000000001,71.9,5,Pass,Good,Yes
STU-0014,North Academy,9,A,Male,14,67.9,1.7,No,Primary,35.4,61.6,57.5,59.1,63.0,55.32000000000001,59.1,4,Fail,Average,Yes
STU-0015,East Model,12,A,Female,18,92.2,1.8,Yes,Primary,46.0,60.8,53.0,54.5,76.5,58.160000000000004,54.5,5,Pass,Average,No
STU-0016,South Public,10,B,Female,16,73.4,2.1,No,Secondary,54.5,51.1,60.3,82.2,60.7,61.75999999999999,60.3,5,Pass,Good,Yes
STU-0017,East Model,10,A,Female,15,81.2,1.7,Yes,Secondary,50.2,58.9,55.0,61.2,79.1,60.879999999999995,58.9,5,Pass,Good,No
STU-0018,West Senior,11,A,Female,16,66.2,2.5,Yes,Secondary,42.7,46.0,70.7,63.0,74.3,59.339999999999996,63.0,5,Pass,Good,Yes
STU-0019,East Model,10,B,Male,15,78.9,1.1,Yes,Primary,52.5,51.7,60.2,59.2,88.2,62.36,59.2,5,Pass,Good,No
STU-0020,South Public,10,B,Female,15,99.7,3.2,Yes,Primary,91.4,77.7,64.3,70.5,79.4,76.66000000000001,77.7,5,Pass,Very Good,No
STU-0021,North Academy,11,C,Male,16,68.5,0.4,Yes,Postgraduate,43.1,51.9,55.1,40.6,52.1,48.559999999999995,51.9,5,Pass,Average,Yes
STU-0022,East Model,12,A,Male,17,83.0,2.2,Yes,Secondary,52.8,74.0,73.2,53.9,54.4,61.660000000000004,54.4,5,Pass,Good,No
STU-0023,South Public,9,A,Male,15,74.1,3.7,No,Postgraduate,61.5,58.1,69.7,71.7,92.3,70.66,69.7,5,Pass,Good,Yes
STU-0024,West Senior,12,A,Female,18,92.1,2.4,No,Graduate,74.1,62.6,54.3,73.2,67.9,66.42,67.9,5,Pass,Good,No
STU-0025,East Model,11,B,Male,16,100.0,0.4,Yes,Graduate,52.8,51.6,65.4,69.5,76.8,63.220000000000006,65.4,5,Pass,Good,No
STU-0026,West Senior,10,C,Male,16,97.8,2.3,No,Postgraduate,61.9,71.5,74.8,75.0,72.0,71.03999999999999,72.0,5,Pass,Good,No
STU-0027,North Academy,10,C,Male,15,66.8,0.2,Yes,Secondary,55.2,41.6,53.7,45.0,53.1,49.72,53.1,5,Pass,Average,Yes
STU-0028,North Academy,9,B,Male,15,88.6,5.9,Yes,Secondary,93.8,84.9,100.0,74.9,84.1,87.54,84.9,5,Pass,Very Good,No
